D4:68:4D:3E:81:A8	-63
D4:68:4D:3E:81:A8	-65
D4:68:4D:3E:81:A8	-66
D4:68:4D:3E:81:A8	-67
D4:68:4D:3E:81:A8	-68
D4:68:4D:3E:81:AC	-80
D4:68:4D:3E:81:AC	-81
D4:68:4D:3E:81:AC	-110
D4:68:4D:3E:81:C8	-110
D4:68:4D:3E:82:98	-33
D4:68:4D:3E:82:98	-34
D4:68:4D:3E:82:98	-35
D4:68:4D:3E:82:98	-36
D4:68:4D:3E:82:9C	-35
D4:68:4D:3E:82:9C	-36
D4:68:4D:3E:82:9C	-38
D4:68:4D:3E:86:68	-86
D4:68:4D:3E:86:68	-110
D4:68:4D:3E:87:F8	-53
D4:68:4D:3E:87:F8	-54
D4:68:4D:3E:87:F8	-55
D4:68:4D:3E:87:FC	-55
D4:68:4D:3E:87:FC	-56
D4:68:4D:3E:89:58	-73
D4:68:4D:3E:89:58	-76
D4:68:4D:3E:89:58	-77
D4:68:4D:3E:89:58	-78
D4:68:4D:3E:89:58	-110
D4:68:4D:3E:8A:68	-59
D4:68:4D:3E:8A:68	-60
D4:68:4D:3E:8A:68	-62
D4:68:4D:3E:8A:68	-63
D4:68:4D:3E:8A:68	-64
D4:68:4D:3E:8A:6C	-68
D4:68:4D:3E:8A:6C	-70
D4:68:4D:3E:8A:6C	-71
D4:68:4D:3E:8A:6C	-72
D4:68:4D:3E:8A:6C	-73
D4:68:4D:3E:8A:6C	-74
D4:68:4D:3E:8B:48	-84
D4:68:4D:3E:8B:48	-86
D4:68:4D:3E:8B:48	-110
D4:68:4D:3E:8C:88	-42
D4:68:4D:3E:8C:88	-43
D4:68:4D:3E:8C:88	-70
D4:68:4D:3E:8C:8C	-58
D4:68:4D:3E:8C:8C	-59
D4:68:4D:3E:8E:38	-110
D4:68:4D:3E:8E:88	-87
D4:68:4D:3E:8E:88	-110
D4:68:4D:3E:91:D8	-48
D4:68:4D:3E:91:D8	-50
D4:68:4D:3E:91:D8	-52
D4:68:4D:3E:91:D8	-53
D4:68:4D:3E:91:D8	-54
D4:68:4D:3E:91:D8	-55
D4:68:4D:3E:91:DC	-64
D4:68:4D:3E:91:DC	-65
D4:68:4D:3E:91:DC	-66
D4:68:4D:3E:91:DC	-69
D4:68:4D:3E:A1:C8	-110
D4:68:4D:3E:A3:08	-52
D4:68:4D:3E:A3:08	-56
D4:68:4D:3E:A3:08	-57
D4:68:4D:3E:A3:08	-58
D4:68:4D:3E:A3:08	-59
D4:68:4D:3E:A3:0C	-80
D4:68:4D:3E:A3:0C	-81
D4:68:4D:3E:A3:0C	-82
D4:68:4D:3E:A3:0C	-84
D4:68:4D:3E:A3:C8	-71
D4:68:4D:3E:A3:C8	-74
D4:68:4D:3E:A3:C8	-77
D4:68:4D:3E:A3:C8	-82
D4:68:4D:3E:A3:CC	-110
D4:68:4D:3E:A4:28	-58
D4:68:4D:3E:A4:28	-59
D4:68:4D:3E:A4:28	-60
D4:68:4D:3E:A4:28	-61
D4:68:4D:3E:A4:2C	-74
D4:68:4D:3E:A4:2C	-75
D4:68:4D:3E:A4:2C	-77
D4:68:4D:3E:A4:2C	-78
D4:68:4D:3E:A4:2C	-79
D4:68:4D:3E:A6:38	-110
D4:68:4D:3E:A6:3C	-110
D4:68:4D:3E:A6:88	-63
D4:68:4D:3E:A6:88	-64
D4:68:4D:3E:A6:88	-65
D4:68:4D:3E:A6:88	-66
D4:68:4D:3E:A6:8C	-78
D4:68:4D:3E:A6:8C	-79
D4:68:4D:3E:A6:8C	-80
D4:68:4D:3E:A7:B8	-79
D4:68:4D:3E:A7:B8	-81
D4:68:4D:3E:A7:B8	-82
DE:53:60:A3:80:59	-110
00:1E:4A:8F:FE:30	-90
00:1E:4A:90:00:20	-76
00:1E:4A:90:00:20	-80
42:49:0F:9A:96:50	-86
44:1C:A8:0F:72:9E	-89
44:1C:A8:0F:72:9E	-110
58:93:96:08:4A:18	-80
6C:AA:B3:32:31:C8	-86
D4:68:4D:3E:19:78	-65
D4:68:4D:3E:19:78	-66
D4:68:4D:3E:19:78	-67
D4:68:4D:3E:19:78	-68
D4:68:4D:3E:19:78	-110
D4:68:4D:3E:19:7C	-85
D4:68:4D:3E:19:7C	-86
D4:68:4D:3E:19:7C	-87
D4:68:4D:3E:19:7C	-88
D4:68:4D:3E:19:7C	-89
D4:68:4D:3E:54:8C	-88
D4:68:4D:3E:54:8C	-89
D4:68:4D:3E:54:8C	-90
D4:68:4D:3E:54:98	-66
D4:68:4D:3E:54:98	-67
D4:68:4D:3E:54:9C	-87
D4:68:4D:3E:54:D8	-78
D4:68:4D:3E:54:DC	-110
D4:68:4D:3E:57:78	-89
D4:68:4D:3E:57:78	-90
D4:68:4D:3E:59:38	-72
D4:68:4D:3E:59:38	-73
D4:68:4D:3E:59:38	-75
D4:68:4D:3E:59:38	-110
D4:68:4D:3E:77:38	-78
D4:68:4D:3E:77:38	-79
D4:68:4D:3E:77:38	-80
D4:68:4D:3E:77:3C	-87
D4:68:4D:3E:77:3C	-88
D4:68:4D:3E:77:3C	-89
D4:68:4D:3E:78:A8	-89
D4:68:4D:3E:78:A8	-90
D4:68:4D:3E:78:A8	-91
D4:68:4D:3E:81:88	-47
D4:68:4D:3E:81:88	-48
D4:68:4D:3E:81:88	-49
D4:68:4D:3E:81:8C	-74
D4:68:4D:3E:81:8C	-75
D4:68:4D:3E:81:98	-72
D4:68:4D:3E:81:98	-73
D4:68:4D:3E:81:98	-74
D4:68:4D:3E:81:98	-75
D4:68:4D:3E:81:98	-76
D4:68:4D:3E:81:9C	-82
D4:68:4D:3E:81:9C	-83
D4:68:4D:3E:81:9C	-84
D4:68:4D:3E:81:9C	-85
D4:68:4D:3E:81:A8	-69
D4:68:4D:3E:81:A8	-70
D4:68:4D:3E:81:A8	-71
D4:68:4D:3E:81:AC	-89
D4:68:4D:3E:81:AC	-90
D4:68:4D:3E:82:98	-37
D4:68:4D:3E:82:98	-38
D4:68:4D:3E:82:98	-39
D4:68:4D:3E:82:9C	-47
D4:68:4D:3E:86:58	-110
D4:68:4D:3E:86:68	-87
D4:68:4D:3E:86:68	-88
D4:68:4D:3E:87:28	-110
D4:68:4D:3E:87:FC	-61
D4:68:4D:3E:87:FC	-62
D4:68:4D:3E:89:58	-72
D4:68:4D:3E:8A:68	-57
D4:68:4D:3E:8A:68	-58
D4:68:4D:3E:8B:48	-89
D4:68:4D:3E:8B:4C	-89
D4:68:4D:3E:8B:4C	-90
D4:68:4D:3E:8B:4C	-110
D4:68:4D:3E:8C:88	-46
D4:68:4D:3E:8C:88	-73
D4:68:4D:3E:8C:8C	-64
D4:68:4D:3E:8C:8C	-65
D4:68:4D:3E:8C:8C	-67
D4:68:4D:3E:8C:8C	-68
D4:68:4D:3E:8C:8C	-72
D4:68:4D:3E:8C:8C	-73
D4:68:4D:3E:91:D8	-47
D4:68:4D:3E:91:D8	-58
D4:68:4D:3E:91:DC	-67
D4:68:4D:3E:91:DC	-68
D4:68:4D:3E:91:DC	-70
D4:68:4D:3E:A3:08	-61
D4:68:4D:3E:A3:08	-62
D4:68:4D:3E:A3:08	-63
D4:68:4D:3E:A3:08	-64
D4:68:4D:3E:A3:08	-65
D4:68:4D:3E:A3:0C	-83
D4:68:4D:3E:A3:C8	-72
D4:68:4D:3E:A3:C8	-73
D4:68:4D:3E:A3:C8	-76
D4:68:4D:3E:A4:28	-62
D4:68:4D:3E:A4:28	-63
D4:68:4D:3E:A4:28	-64
D4:68:4D:3E:A4:28	-66
D4:68:4D:3E:A4:28	-67
D4:68:4D:3E:A4:2C	-80
D4:68:4D:3E:A4:2C	-81
D4:68:4D:3E:A6:38	-89
D4:68:4D:3E:A6:88	-68
D4:68:4D:3E:A6:88	-72
D4:68:4D:3E:A6:88	-73
D4:68:4D:3E:A6:88	-74
D4:68:4D:3E:A6:88	-75
D4:68:4D:3E:A6:8C	-82
D4:68:4D:3E:A6:8C	-83
D4:68:4D:3E:A6:8C	-84
D4:68:4D:3E:A7:B8	-83
D4:68:4D:3E:A7:B8	-84
D4:68:4D:3E:A7:B8	-85
D4:68:4D:3E:A7:B8	-110
00:1E:4A:8F:FE:30	-110
00:1E:4A:90:00:20	-82
00:22:6B:47:B8:32	-90
00:22:6B:47:B8:32	-110
2C:E6:CC:1A:CB:D8	-64
2C:E6:CC:1A:CB:D8	-65
2C:E6:CC:1A:CB:D8	-66
42:49:0F:9A:96:50	-83
42:49:0F:9A:96:50	-84
42:49:0F:9A:96:50	-85
44:1C:A8:0F:72:9E	-84
44:1C:A8:0F:72:9E	-86
58:93:96:08:4A:18	-78
58:93:96:08:4A:18	-81
6C:AA:B3:32:31:C8	-83
6C:AA:B3:72:31:C8	-80
6C:AA:B3:72:31:C8	-81
6C:AA:B3:72:31:C8	-82
6C:AA:B3:72:31:C8	-83
94:F6:65:1D:EC:D8	-89
D4:68:4D:3E:19:78	-79
D4:68:4D:3E:54:88	-87
D4:68:4D:3E:54:98	-71
D4:68:4D:3E:54:98	-72
D4:68:4D:3E:54:D8	-79
D4:68:4D:3E:54:D8	-80
D4:68:4D:3E:54:DC	-85
D4:68:4D:3E:54:DC	-86
D4:68:4D:3E:54:DC	-87
D4:68:4D:3E:58:E8	-82
D4:68:4D:3E:58:E8	-83
D4:68:4D:3E:58:E8	-84
D4:68:4D:3E:58:E8	-85
D4:68:4D:3E:59:38	-68
D4:68:4D:3E:59:38	-69
D4:68:4D:3E:59:38	-70
D4:68:4D:3E:59:38	-71
D4:68:4D:3E:59:3C	-70
D4:68:4D:3E:59:3C	-71
D4:68:4D:3E:77:38	-75
D4:68:4D:3E:77:38	-76
D4:68:4D:3E:77:38	-87
D4:68:4D:3E:77:38	-88
D4:68:4D:3E:77:3C	-84
D4:68:4D:3E:77:3C	-85
D4:68:4D:3E:81:88	-46
D4:68:4D:3E:81:98	-77
D4:68:4D:3E:81:9C	-86
D4:68:4D:3E:81:AC	-87
D4:68:4D:3E:81:AC	-88
D4:68:4D:3E:81:C8	-87
D4:68:4D:3E:82:9C	-39
D4:68:4D:3E:82:9C	-40
D4:68:4D:3E:86:68	-76
D4:68:4D:3E:86:68	-77
D4:68:4D:3E:86:68	-78
D4:68:4D:3E:86:68	-85
D4:68:4D:3E:87:F8	-52
D4:68:4D:3E:87:FC	-54
D4:68:4D:3E:89:58	-74
D4:68:4D:3E:8A:68	-65
D4:68:4D:3E:8A:68	-67
D4:68:4D:3E:8A:6C	-76
D4:68:4D:3E:8A:6C	-78
D4:68:4D:3E:8A:6C	-79
D4:68:4D:3E:8A:6C	-80
D4:68:4D:3E:8B:4C	-86
D4:68:4D:3E:8B:4C	-87
D4:68:4D:3E:8C:88	-44
D4:68:4D:3E:8C:88	-45
D4:68:4D:3E:8C:88	-48
D4:68:4D:3E:8C:88	-64
D4:68:4D:3E:8C:8C	-69
D4:68:4D:3E:8C:8C	-70
D4:68:4D:3E:8E:88	-88
D4:68:4D:3E:91:D8	-56
D4:68:4D:3E:91:D8	-57
D4:68:4D:3E:91:D8	-59
D4:68:4D:3E:91:D8	-66
D4:68:4D:3E:A3:08	-55
D4:68:4D:3E:A3:08	-80
D4:68:4D:3E:A3:C8	-66
D4:68:4D:3E:A3:C8	-67
D4:68:4D:3E:A4:28	-54
D4:68:4D:3E:A4:28	-56
D4:68:4D:3E:A4:28	-57
D4:68:4D:3E:A4:2C	-76
D4:68:4D:3E:A6:38	-88
D4:68:4D:3E:A6:88	-69
D4:68:4D:3E:A6:88	-70
D4:68:4D:3E:A6:88	-71
D4:68:4D:3E:A6:8C	-85
D4:68:4D:3E:A7:B8	-78
D4:68:4D:3E:A7:B8	-80
00:22:6B:47:B8:32	-89
00:22:6B:47:B8:32	-91
2C:E6:CC:1A:CB:D8	-61
58:93:96:08:4A:18	-70
58:93:96:08:4A:18	-74
58:93:96:08:4A:18	-75
58:93:96:08:4A:18	-76
58:93:96:08:4A:18	-77
58:93:96:08:4A:18	-79
6C:AA:B3:32:24:68	-91
6C:AA:B3:32:31:C8	-78
6C:AA:B3:72:24:68	-91
6C:AA:B3:72:31:C8	-84
94:F6:65:1D:EC:D8	-87
94:F6:65:1D:EC:D8	-88
D4:68:4D:3E:19:78	-84
D4:68:4D:3E:19:7C	-80
D4:68:4D:3E:19:7C	-81
D4:68:4D:3E:54:9C	-110
D4:68:4D:3E:54:D8	-72
D4:68:4D:3E:54:D8	-73
D4:68:4D:3E:54:D8	-74
D4:68:4D:3E:58:E8	-78
D4:68:4D:3E:59:3C	-68
D4:68:4D:3E:59:3C	-69
D4:68:4D:3E:77:38	-72
D4:68:4D:3E:77:38	-77
D4:68:4D:3E:77:3C	-86
D4:68:4D:3E:81:88	-58
D4:68:4D:3E:81:98	-78
D4:68:4D:3E:81:A8	-64
D4:68:4D:3E:81:AC	-86
D4:68:4D:3E:81:C8	-88
D4:68:4D:3E:81:C8	-89
D4:68:4D:3E:82:98	-31
D4:68:4D:3E:82:98	-32
D4:68:4D:3E:82:98	-42
D4:68:4D:3E:82:9C	-41
D4:68:4D:3E:87:F8	-78
D4:68:4D:3E:87:F8	-82
D4:68:4D:3E:87:F8	-83
D4:68:4D:3E:87:FC	-53
D4:68:4D:3E:8A:68	-69
D4:68:4D:3E:8A:6C	-75
D4:68:4D:3E:8B:48	-87
D4:68:4D:3E:8B:48	-88
D4:68:4D:3E:8C:88	-47
D4:68:4D:3E:8C:88	-84
D4:68:4D:3E:8C:8C	-71
D4:68:4D:3E:91:D8	-61
D4:68:4D:3E:97:F8	-88
D4:68:4D:3E:A3:08	-60
D4:68:4D:3E:A3:08	-73
D4:68:4D:3E:A3:C8	-68
D4:68:4D:3E:A3:C8	-69
D4:68:4D:3E:A3:C8	-84
D4:68:4D:3E:A3:C8	-89
D4:68:4D:3E:A4:28	-53
D4:68:4D:3E:A4:28	-55
D4:68:4D:3E:A4:28	-70
D4:68:4D:3E:A4:28	-71
D4:68:4D:3E:A6:8C	-81
D4:68:4D:3E:A7:B8	-76
D4:68:4D:3E:A7:B8	-77
D4:C1:9E:3F:1A:98	-80
D4:C1:9E:3F:1A:98	-81
D4:C1:9E:3F:1A:98	-110
D4:C1:9E:7F:1A:58	-83
DA:32:E3:B9:FF:04	-38
DA:32:E3:B9:FF:04	-41
DA:32:E3:B9:FF:04	-42
DA:32:E3:B9:FF:04	-44
DA:32:E3:B9:FF:04	-45
DA:32:E3:B9:FF:04	-48
DA:32:E3:B9:FF:04	-50
DA:32:E3:B9:FF:04	-54
DA:32:E3:B9:FF:04	-57
DA:32:E3:B9:FF:04	-69
D4:68:4D:3E:8C:88	-60
D4:68:4D:3E:82:98	-41
D4:68:4D:3E:81:88	-65
D4:68:4D:3E:8A:68	-68
D4:68:4D:3E:81:98	-80
D4:68:4D:3E:19:78	-75
D4:68:4D:3E:58:E8	-81
D4:68:4D:3E:59:38	-83
D4:68:4D:3E:8E:38	-92
D4:68:4D:3E:91:D8	-60
D4:68:4D:3E:87:F8	-65
D4:68:4D:3E:81:A8	-78
6C:AA:B3:32:31:C8	-82
D4:68:4D:3E:54:D8	-83
00:22:6B:47:B8:32	-93
D4:68:4D:3E:91:DC	-77
D4:68:4D:3E:82:9C	-48
D4:68:4D:3E:59:3C	-82
D4:68:4D:3E:87:FC	-68
D4:68:4D:3E:19:7C	-84
D4:68:4D:3E:8C:8C	-77
D4:68:4D:3E:8C:88	-55
D4:68:4D:3E:82:98	-53
D4:68:4D:3E:81:88	-72
D4:68:4D:3E:8A:68	-70
D4:68:4D:3E:81:98	-81
D4:68:4D:3E:19:78	-76
D4:68:4D:3E:87:F8	-66
D4:68:4D:3E:81:A8	-76
D4:68:4D:3E:54:98	-64
6C:AA:B3:72:31:C8	-88
D4:68:4D:3E:54:D8	-81
D4:68:4D:3E:81:AC	-84
D4:68:4D:3E:82:9C	-50
D4:68:4D:3E:59:3C	-83
D4:68:4D:3E:87:FC	-69
D4:68:4D:3E:8E:88	-90
D4:68:4D:3E:A6:88	-77
D4:68:4D:3E:8C:88	-54
D4:68:4D:3E:81:88	-67
D4:68:4D:3E:58:E8	-87
D4:68:4D:3E:59:38	-82
D4:68:4D:3E:87:F8	-62
D4:68:4D:3E:81:A8	-75
6C:AA:B3:32:31:C8	-85
6C:AA:B3:72:31:C8	-87
D4:68:4D:3E:A4:28	-65
D4:68:4D:3E:87:FC	-71
D4:68:4D:3E:A3:0C	-85
D4:68:4D:3E:8C:8C	-76
D4:68:4D:3E:A6:88	-76
44:1C:A8:0F:72:9E	-92
D4:68:4D:3E:8C:88	-50
D4:68:4D:3E:82:98	-40
D4:68:4D:3E:81:88	-61
D4:68:4D:3E:8A:68	-71
D4:68:4D:3E:59:38	-81
D4:68:4D:3E:8E:38	-91
D4:68:4D:3E:89:58	-79
D4:68:4D:3E:8A:6C	-77
D4:68:4D:3E:82:9C	-51
D4:68:4D:3E:87:FC	-67
D4:68:4D:3E:8E:88	-91
00:1E:4A:90:00:20	-83
D4:68:4D:3E:8C:88	-51
D4:68:4D:3E:81:88	-63
D4:68:4D:3E:81:98	-79
D4:68:4D:3E:19:78	-78
D4:68:4D:3E:8E:38	-90
D4:68:4D:3E:91:D8	-51
D4:68:4D:3E:81:A8	-74
D4:68:4D:3E:A4:28	-82
00:1E:4A:90:00:20	-81
D4:68:4D:3E:54:8C	-87
D4:68:4D:3E:81:88	-62
D4:68:4D:3E:59:38	-79
D4:68:4D:3E:87:F8	-63
D4:68:4D:3E:54:98	-63
6C:AA:B3:72:31:C8	-89
D4:68:4D:3E:59:3C	-84
D4:68:4D:3E:87:FC	-66
D4:68:4D:3E:A6:8C	-89
D4:68:4D:3E:8C:88	-52
D4:68:4D:3E:58:E8	-93
D4:68:4D:3E:59:38	-76
D4:68:4D:3E:87:F8	-68
D4:68:4D:3E:81:A8	-77
D4:68:4D:3E:54:98	-62
D4:68:4D:3E:A4:28	-68
D4:68:4D:3E:54:D8	-82
D4:68:4D:3E:54:9C	-88
D4:68:4D:3E:8E:88	-89
D4:68:4D:3E:59:38	-80
6C:AA:B3:32:31:C8	-91
D4:68:4D:3E:A3:0C	-86
D4:68:4D:3E:86:68	-94
D4:68:4D:3E:54:98	-61
6C:AA:B3:32:31:C8	-88
D4:68:4D:3E:8E:88	-93
D4:68:4D:3E:A6:8C	-88
D4:68:4D:3E:19:78	-77
D4:68:4D:3E:59:38	-87
D4:68:4D:3E:87:F8	-64
6C:AA:B3:72:31:C8	-85
D4:68:4D:3E:A4:28	-79
D4:68:4D:3E:86:68	-93
D4:68:4D:3E:58:E8	-86
6C:AA:B3:32:31:C8	-87
00:22:6B:47:B8:32	-94
D4:68:4D:3E:8E:88	-94
D4:68:4D:3E:A3:C8	-75
D4:68:4D:3E:87:F8	-67
6C:AA:B3:32:31:C8	-89
00:22:6B:47:B8:32	-95
D4:68:4D:3E:87:FC	-70
D4:68:4D:3E:8E:88	-92
94:F6:65:1D:EC:D8	-91
D4:68:4D:3E:81:88	-64
D4:68:4D:3E:8E:38	-88
D4:68:4D:3E:81:A8	-79
D4:68:4D:3E:54:8C	-110
D4:68:4D:3E:8E:38	-93
D4:68:4D:3E:54:98	-60
D4:68:4D:3E:87:FC	-72
D4:68:4D:3E:54:88	-92
D4:68:4D:3E:81:88	-60
D4:68:4D:3E:87:F8	-60
D4:68:4D:3E:89:58	-80
D4:68:4D:3E:A6:88	-78
94:F6:65:1D:EC:D8	-94
D4:68:4D:3E:8C:88	-56
D4:68:4D:3E:A3:08	-66
D4:68:4D:3E:54:D8	-84
D4:68:4D:3E:82:9C	-49
D4:68:4D:3E:59:3C	-85
D4:68:4D:3E:81:8C	-77
D4:68:4D:3E:8C:8C	-75
00:1E:4A:90:00:20	-85
D4:68:4D:3E:A6:8C	-110
94:F6:65:1D:EC:D8	-92
D4:68:4D:3E:91:DC	-61
D4:68:4D:3E:82:98	-43
D4:68:4D:3E:19:78	-72
D4:68:4D:3E:81:C8	-84
D4:68:4D:3E:8C:88	-49
6C:AA:B3:32:31:C8	-81
D4:68:4D:3E:81:88	-56
D4:68:4D:3E:A6:8C	-77
D4:68:4D:3E:87:FC	-50
D4:68:4D:3E:81:8C	-76
D4:68:4D:3E:8C:8C	-74
D4:68:4D:3E:A3:0C	-87
D4:68:4D:3E:87:F8	-56
D4:68:4D:3E:59:3C	-74
00:22:6B:47:B8:32	-88
D4:68:4D:3E:A3:C8	-70
D4:68:4D:3E:87:F8	-57
D4:68:4D:3E:81:C8	-86
D4:68:4D:3E:81:A8	-72
D4:68:4D:3E:87:FC	-51
D4:68:4D:3E:A6:38	-91
D4:68:4D:3E:87:F8	-58
D4:68:4D:3E:59:38	-78
D4:68:4D:3E:A6:8C	-76
D4:68:4D:3E:82:9C	-44
D4:68:4D:3E:19:7C	-90
D4:68:4D:3E:77:38	-81
D4:68:4D:3E:91:DC	-63
D4:68:4D:3E:8C:88	-53
D4:68:4D:3E:81:A8	-73
D4:68:4D:3E:89:58	-75
D4:68:4D:3E:19:78	-73
D4:68:4D:3E:54:DC	-88
D4:68:4D:3E:A7:B8	-86
00:1E:4A:90:00:20	-110
D4:68:4D:3E:87:F8	-51
D4:68:4D:3E:87:FC	-48
D4:68:4D:3E:8E:38	-86
6C:AA:B3:32:24:68	-89
6C:AA:B3:72:24:68	-89
D4:68:4D:3E:91:DC	-62
D4:68:4D:3E:81:88	-59
6C:AA:B3:32:24:68	-88
D4:68:4D:3E:81:98	-71
6C:AA:B3:32:24:68	-90
6C:AA:B3:72:24:68	-90
D4:68:4D:3E:91:D8	-70
D4:68:4D:3E:8E:38	-85
D4:68:4D:3E:19:78	-74
D4:68:4D:3E:8C:88	-77
D4:68:4D:3E:8A:6C	-69
